EngagementSurvey,DaysLateLast30,Salary,Age,Absences,EmpSatisfaction,YearsOfWork,MaritalDesc,SpecialProjectsCount,PerformanceScore
1.36,2,66550,32,22,3,9,Divorced,3,PIP
3.87,2,124049,52,7,4,14,Separated,7,Needs Improvement
4.12,2,161946,66,3,4,10,Married,6,Fully Meets
5.0,3,87734,35,2,5,12,Married,12,Exceeds
2.25,3,127319,36,12,5,11,Widowed,5,Needs Improvement
4.38,3,146412,62,2,5,12,Single,10,Exceeds
2.78,4,47128,54,12,2,7,Separated,3,PIP
3.04,3,103022,55,2,4,15,Married,7,Needs Improvement
3.23,3,82888,35,8,3,16,Widowed,4,Needs Improvement
4.46,0,50010,68,4,5,13,Married,15,Exceeds
2.85,3,87287,36,5,4,13,Separated,7,Needs Improvement
3.08,3,61019,55,16,4,16,Separated,1,PIP
4.73,2,194728,66,7,5,9,Separated,13,Exceeds
1.3,6,55166,54,16,1,9,Separated,2,PIP
2.14,3,141223,36,7,5,10,Single,6,Needs Improvement
3.27,4,53117,51,5,3,12,Divorced,6,Needs Improvement
2.72,4,67136,37,15,2,6,Separated,5,PIP
4.96,2,99881,31,6,5,14,Single,11,Exceeds
5.0,2,179452,34,5,5,8,Single,12,Exceeds
2.62,3,65177,57,5,4,7,Separated,5,Needs Improvement
4.83,3,60179,45,4,5,17,Married,9,Fully Meets
2.05,7,73921,47,14,3,10,Divorced,1,PIP
2.44,3,56152,51,9,4,17,Separated,5,PIP
4.72,3,55887,44,9,4,14,Married,8,Fully Meets
4.87,3,136661,32,4,5,8,Married,13,Exceeds
3.61,3,124718,54,16,3,9,Widowed,7,Needs Improvement
3.96,4,120739,40,15,4,8,Single,7,Needs Improvement
2.15,4,62945,51,15,5,7,Widowed,8,Needs Improvement
2.77,4,48415,41,21,5,11,Separated,2,PIP
2.73,4,92091,52,8,5,7,Single,7,Needs Improvement
4.84,2,88730,40,4,5,13,Separated,10,Fully Meets
4.75,0,106156,56,1,5,12,Married,14,Exceeds
4.24,3,144625,59,8,4,9,Single,6,Fully Meets
2.54,2,85869,40,4,4,16,Separated,7,Needs Improvement
4.93,1,78026,54,0,5,12,Single,11,Exceeds
4.31,1,63536,33,5,5,8,Single,12,Exceeds
4.06,2,68026,37,1,5,9,Single,14,Exceeds
1.77,6,45235,52,25,5,7,Separated,1,PIP
4.47,3,191382,37,3,5,11,Single,7,Fully Meets
2.84,3,104326,56,6,4,11,Widowed,5,Needs Improvement
3.39,2,125361,34,15,5,15,Divorced,5,Needs Improvement
4.35,2,73619,71,9,5,13,Single,6,Fully Meets
1.21,4,64529,32,23,3,15,Single,3,PIP
2.72,4,52164,58,12,3,9,Divorced,3,PIP
1.53,3,55295,36,7,4,11,Separated,2,PIP
4.71,3,130350,38,9,4,13,Single,7,Fully Meets
4.18,2,103974,47,0,5,12,Separated,10,Exceeds
2.21,4,73734,45,23,3,9,Widowed,4,PIP
4.69,2,178564,48,3,5,14,Married,14,Exceeds
4.3,1,95393,44,9,5,10,Separated,9,Fully Meets
4.41,3,152600,54,6,4,15,Divorced,8,Fully Meets
4.1,2,93764,64,3,5,13,Married,9,Fully Meets
2.92,4,90857,36,7,4,8,Separated,7,Needs Improvement
4.23,3,194001,67,5,5,11,Married,6,Fully Meets
1.59,5,74523,52,20,5,15,Separated,3,PIP
4.71,1,64025,47,7,5,17,Single,10,Exceeds
4.51,3,223974,34,5,5,9,Single,14,Exceeds
4.3,2,202973,55,6,5,11,Single,6,Fully Meets
4.15,2,201215,45,4,4,15,Single,8,Fully Meets
1.36,6,71652,48,21,4,12,Divorced,1,PIP
2.41,2,93849,41,7,5,8,Separated,7,Needs Improvement
4.58,1,188649,53,2,5,16,Single,14,Exceeds
2.35,3,59967,41,23,1,8,Divorced,5,PIP
4.48,2,176736,62,9,5,11,Married,8,Fully Meets
4.2,3,156776,49,1,5,15,Single,14,Exceeds
2.03,3,65538,38,7,3,8,Separated,4,Needs Improvement
1.49,3,63032,47,4,5,14,Separated,2,PIP
2.38,2,50943,36,18,2,12,Divorced,1,PIP
2.65,3,128145,38,13,4,7,Widowed,7,Needs Improvement
2.99,4,46261,56,24,4,13,Separated,2,PIP
2.05,3,127380,52,11,5,10,Separated,4,Needs Improvement
4.03,2,82058,61,5,5,15,Single,11,Exceeds
4.62,2,129357,53,5,5,17,Single,13,Exceeds
1.95,3,64640,43,8,2,10,Divorced,4,PIP
4.99,2,171352,70,8,5,10,Single,7,Fully Meets
4.01,1,143018,72,5,4,12,Single,7,Fully Meets
3.14,6,48745,45,16,4,11,Divorced,4,PIP
3.4,3,117969,34,10,4,7,Divorced,8,Needs Improvement
3.84,3,100723,40,5,3,15,Separated,6,Needs Improvement
1.89,4,70009,60,12,5,5,Divorced,1,PIP
4.66,2,174035,46,6,4,13,Single,7,Fully Meets
3.84,3,115901,35,5,4,9,Divorced,5,Needs Improvement
2.99,4,65122,59,14,4,14,Separated,2,PIP
4.75,2,58481,38,4,5,10,Separated,10,Fully Meets
2.57,2,71093,41,11,5,14,Widowed,5,Needs Improvement
1.24,5,58492,57,11,4,11,Divorced,2,PIP
1.29,5,49624,58,8,4,11,Divorced,3,PIP
2.35,2,50883,36,21,4,10,Divorced,3,PIP
3.37,4,115686,41,11,4,15,Widowed,8,Needs Improvement
4.34,2,216835,61,2,5,16,Married,13,Exceeds
4.03,1,96253,66,6,5,14,Married,14,Exceeds
4.59,2,88505,48,7,5,14,Single,15,Exceeds
3.1,3,76337,44,5,4,14,Divorced,5,Needs Improvement
4.1,1,132145,36,6,4,11,Separated,9,Fully Meets
4.91,1,202643,39,9,5,16,Married,10,Fully Meets
2.73,3,101659,58,16,5,12,Divorced,5,Needs Improvement
4.75,3,115722,42,2,5,13,Single,9,Fully Meets
4.83,2,185375,37,1,5,7,Single,10,Exceeds
1.83,2,48330,41,17,2,13,Separated,6,PIP
2.74,4,53107,44,12,2,15,Separated,6,PIP
3.4,4,83646,55,4,5,11,Separated,6,Needs Improvement
2.82,4,71035,53,9,3,16,Separated,7,Needs Improvement
1.22,6,64625,49,11,1,6,Divorced,2,PIP
3.01,6,52259,33,11,5,15,Separated,5,PIP
4.66,0,188951,65,7,5,11,Divorced,13,Exceeds
4.24,3,206025,40,8,5,9,Married,7,Fully Meets
4.87,1,169538,34,2,5,8,Married,7,Fully Meets
4.18,0,149587,67,8,5,10,Single,11,Exceeds
4.93,2,150717,42,2,5,13,Married,14,Exceeds
2.52,6,70651,52,13,4,7,Separated,1,PIP
4.83,2,152949,34,1,5,9,Single,13,Exceeds
4.9,2,137345,58,9,5,9,Divorced,8,Fully Meets
4.9,3,68516,53,9,5,8,Single,6,Fully Meets
4.77,1,103893,67,1,5,12,Single,12,Exceeds
1.31,4,47896,33,23,2,7,Divorced,0,PIP
2.93,2,105387,59,8,4,15,Separated,7,Needs Improvement
3.82,3,117628,50,12,3,8,Widowed,6,Needs Improvement
2.41,6,59293,60,20,4,16,Separated,4,PIP
4.09,1,199572,60,2,5,11,Divorced,11,Exceeds
4.68,2,173661,71,3,5,11,Separated,12,Exceeds
3.69,3,75781,55,9,4,12,Separated,6,Needs Improvement
2.42,2,84333,57,5,3,14,Separated,6,Needs Improvement
4.05,1,106099,70,3,5,14,Single,10,Fully Meets
3.46,3,136601,34,6,3,15,Separated,6,Needs Improvement
2.92,6,45815,52,18,1,10,Separated,4,PIP
2.57,4,57913,36,13,3,13,Separated,5,PIP
2.21,3,45230,32,10,2,16,Separated,0,PIP
4.81,2,72196,55,6,4,8,Married,6,Fully Meets
3.08,3,110432,43,4,4,15,Widowed,7,Needs Improvement
2.06,3,122194,35,12,4,13,Separated,5,Needs Improvement
3.35,2,90353,50,14,4,14,Separated,6,Needs Improvement
2.67,3,73385,35,6,5,17,Separated,5,Needs Improvement
4.78,3,148051,34,6,4,14,Married,8,Fully Meets
2.02,2,68027,31,11,2,8,Separated,5,PIP
4.62,1,221302,64,8,4,10,Married,7,Fully Meets
4.27,3,102650,60,5,4,11,Separated,7,Fully Meets
4.01,0,221919,34,8,4,15,Single,7,Fully Meets
4.97,1,172956,41,1,5,8,Single,12,Exceeds
4.97,0,104535,70,4,5,8,Married,14,Exceeds
4.01,3,220725,52,5,5,8,Single,12,Exceeds
4.44,1,61224,43,10,5,13,Separated,7,Fully Meets
4.12,3,161526,43,6,4,15,Divorced,6,Fully Meets
1.39,7,57495,36,7,2,10,Divorced,1,PIP
3.02,2,90362,58,15,4,10,Divorced,5,Needs Improvement
3.83,4,128297,35,12,3,9,Divorced,7,Needs Improvement
4.37,2,133339,40,7,5,17,Divorced,10,Fully Meets
4.24,2,177324,65,9,5,8,Married,6,Fully Meets
3.1,3,49217,34,3,2,9,Divorced,2,PIP
2.15,6,66111,32,3,3,14,Separated,4,PIP
2.27,3,71771,36,3,3,16,Single,5,Needs Improvement
2.45,2,87616,47,14,5,12,Divorced,7,Needs Improvement
3.72,3,141728,53,11,4,10,Widowed,6,Needs Improvement
2.31,4,138448,38,12,3,16,Divorced,7,Needs Improvement
4.53,1,55730,57,4,5,11,Separated,14,Exceeds
3.07,3,71957,40,11,1,14,Separated,5,PIP
1.42,5,66360,51,19,5,6,Widowed,0,PIP
2.94,4,56078,35,21,4,16,Separated,1,PIP
4.84,3,110170,62,3,4,8,Married,8,Fully Meets
3.39,3,134442,49,5,3,8,Separated,6,Needs Improvement
1.77,6,49739,57,15,3,9,Divorced,3,PIP
4.36,0,197320,32,3,5,8,Married,11,Exceeds
2.81,5,59214,59,4,2,8,Divorced,3,PIP
1.49,3,52185,47,10,2,16,Divorced,0,PIP
4.91,3,179695,53,1,5,12,Separated,12,Exceeds
4.9,3,102984,32,9,5,13,Single,7,Fully Meets
3.78,4,145456,34,13,3,10,Separated,7,Needs Improvement
4.75,1,67552,52,10,5,14,Divorced,10,Fully Meets
4.34,2,218258,70,7,4,13,Single,9,Fully Meets
2.1,4,46168,47,24,1,8,Separated,3,PIP
2.41,2,104555,59,2,4,14,Divorced,7,Needs Improvement
2.21,3,73514,41,5,1,16,Widowed,1,PIP
4.97,0,135671,52,5,5,10,Divorced,8,Fully Meets
4.75,0,102640,34,2,5,13,Married,9,Fully Meets
4.69,1,47743,59,2,4,11,Married,7,Fully Meets
4.15,1,154318,59,7,5,15,Single,14,Exceeds
2.77,6,53715,36,22,3,10,Divorced,5,PIP
1.15,3,63114,35,13,1,11,Separated,1,PIP
1.6,4,63672,30,8,2,11,Divorced,2,PIP
4.32,1,185009,55,6,5,10,Married,11,Exceeds
4.27,2,133589,64,4,5,9,Single,9,Fully Meets
4.53,1,137631,39,6,5,17,Single,6,Fully Meets
4.08,2,114011,31,7,5,12,Single,12,Exceeds
4.3,2,194024,59,3,5,9,Separated,12,Exceeds
4.98,1,114160,44,8,5,9,Single,12,Exceeds
4.34,0,169489,57,7,5,9,Single,15,Exceeds
4.97,1,155432,47,3,4,10,Married,10,Fully Meets
4.51,0,162869,67,6,5,8,Separated,9,Fully Meets
4.03,0,207062,43,7,5,9,Single,12,Exceeds
1.83,4,51784,39,8,4,15,Divorced,1,PIP
4.42,1,92962,69,5,5,9,Single,10,Fully Meets
3.0,2,94995,53,12,4,12,Widowed,8,Needs Improvement
4.11,1,224752,53,6,5,13,Married,7,Fully Meets
4.96,1,106169,53,2,5,17,Married,12,Exceeds
4.48,2,149732,66,8,4,15,Single,6,Fully Meets
4.76,1,146599,63,8,5,11,Single,7,Fully Meets
2.94,3,47169,34,13,4,14,Separated,5,PIP
4.5,0,192592,40,5,5,11,Single,14,Exceeds
4.4,0,62021,62,8,5,8,Divorced,10,Exceeds
2.06,5,64873,54,19,3,6,Divorced,4,PIP
4.94,1,85029,52,0,5,8,Married,11,Exceeds
4.8,0,120820,70,5,5,12,Married,14,Exceeds
4.02,0,199586,34,5,5,10,Married,7,Fully Meets
3.54,4,83262,54,5,5,13,Separated,7,Needs Improvement
2.86,6,64218,44,22,5,6,Divorced,2,PIP
1.33,6,69326,49,4,4,7,Separated,4,PIP
4.87,2,162615,70,9,4,13,Single,6,Fully Meets
4.32,3,91843,40,10,5,15,Single,9,Fully Meets
2.8,4,118051,36,4,3,10,Separated,4,Needs Improvement
4.57,2,122192,37,9,4,11,Single,10,Fully Meets
2.91,4,111814,45,5,5,14,Separated,8,Needs Improvement
4.32,1,132141,51,2,5,16,Single,10,Exceeds
2.49,3,72530,47,15,4,12,Divorced,6,Needs Improvement
4.66,0,53158,41,7,5,17,Divorced,8,Fully Meets
3.91,3,53252,39,11,4,13,Separated,5,Needs Improvement
1.62,3,58923,37,14,3,15,Separated,1,PIP
3.19,3,136902,54,12,5,12,Separated,6,Needs Improvement
3.89,2,117265,35,7,4,13,Divorced,7,Needs Improvement
3.56,2,57189,55,2,4,11,Divorced,7,Needs Improvement
2.21,4,111611,38,10,4,11,Divorced,5,Needs Improvement
4.4,3,148790,39,7,5,12,Married,13,Exceeds
3.2,3,111404,36,10,5,11,Single,5,Needs Improvement
4.27,1,123397,51,3,4,16,Married,6,Fully Meets
2.44,4,65360,38,21,1,8,Single,5,PIP
2.78,4,50448,38,22,4,12,Divorced,0,PIP
4.1,0,83947,63,1,5,12,Single,15,Exceeds
2.17,3,57210,52,5,5,15,Married,8,Needs Improvement
1.49,4,72553,44,11,1,6,Divorced,1,PIP
4.73,1,52061,51,7,5,10,Married,13,Exceeds
4.33,3,165803,48,0,5,11,Married,13,Exceeds
4.63,2,62721,69,9,4,10,Single,10,Fully Meets
4.55,2,133803,32,5,4,17,Married,8,Fully Meets
3.05,3,122576,54,15,3,14,Separated,5,Needs Improvement
3.9,4,134172,50,15,4,16,Divorced,4,Needs Improvement
3.07,6,65825,54,10,3,7,Divorced,0,PIP
4.9,3,74369,43,8,4,17,Single,8,Fully Meets
4.49,1,131045,45,3,5,17,Single,13,Exceeds
1.38,3,64998,37,3,4,5,Separated,0,PIP
2.82,3,97280,51,17,4,14,Divorced,7,Needs Improvement
3.01,4,108214,48,16,5,11,Widowed,6,Needs Improvement
4.64,2,158062,46,0,5,15,Divorced,13,Exceeds
4.64,2,194157,35,4,5,9,Married,14,Exceeds
2.46,4,144886,44,2,5,14,Single,7,Needs Improvement
4.4,1,94245,51,8,5,7,Married,8,Fully Meets
4.79,2,189437,49,6,4,16,Single,9,Fully Meets
3.42,4,97068,41,5,4,9,Divorced,4,Needs Improvement
1.59,3,70672,35,15,1,15,Divorced,3,PIP
4.56,0,206350,43,2,4,12,Single,6,Fully Meets
4.99,1,97032,64,0,5,14,Married,10,Exceeds
2.7,6,46786,52,6,2,14,Divorced,2,PIP
3.63,3,84377,32,16,4,13,Separated,7,Needs Improvement
1.42,4,63088,47,18,3,14,Separated,5,PIP
4.67,1,89786,32,4,5,12,Married,12,Exceeds
4.72,3,111915,36,8,5,10,Single,8,Fully Meets
2.9,3,90880,42,14,3,15,Divorced,6,Needs Improvement
4.54,1,183373,71,8,4,11,Married,9,Fully Meets
2.21,4,68826,42,16,2,7,Separated,4,PIP
3.55,3,130409,55,13,5,12,Divorced,4,Needs Improvement
4.82,3,110852,37,6,4,10,Single,8,Fully Meets
1.92,2,62349,50,7,4,13,Separated,1,PIP
2.58,3,76780,35,15,4,8,Divorced,6,Needs Improvement
4.77,1,152775,33,6,5,15,Separated,11,Exceeds
4.08,1,114469,51,2,5,15,Married,10,Fully Meets
4.79,2,72042,64,6,5,15,Separated,12,Exceeds
2.34,3,79996,54,8,4,16,Separated,7,Needs Improvement
3.8,4,51134,56,5,5,15,Single,7,Needs Improvement
3.11,7,69714,53,21,1,6,Separated,3,PIP
2.8,4,98848,32,6,5,9,Separated,5,Needs Improvement
1.59,6,59266,55,24,4,16,Divorced,3,PIP
1.56,3,66213,55,9,5,9,Divorced,2,PIP
4.45,2,180009,69,2,4,10,Married,9,Fully Meets
4.74,2,197357,44,4,4,13,Divorced,10,Fully Meets
4.51,1,224286,56,6,5,14,Single,9,Fully Meets
4.43,0,112958,48,5,5,13,Married,13,Exceeds
4.87,1,90380,71,4,4,13,Married,9,Fully Meets
4.08,3,225124,72,3,5,12,Married,9,Fully Meets
1.68,7,60375,33,8,5,9,Divorced,4,PIP
4.15,1,170410,52,7,4,9,Married,9,Fully Meets
2.92,3,119658,36,9,3,15,Divorced,4,Needs Improvement
4.45,1,172865,71,8,5,17,Single,9,Fully Meets
1.47,5,71369,40,7,4,10,Single,1,PIP
4.19,1,211101,69,3,5,9,Married,11,Exceeds
3.48,3,137048,56,3,4,12,Separated,6,Needs Improvement
3.79,2,147023,39,6,4,8,Separated,8,Needs Improvement
2.03,6,64891,42,23,1,7,Separated,0,PIP
3.35,3,112015,35,8,5,13,Separated,5,Needs Improvement
4.18,2,134658,50,6,4,11,Divorced,6,Fully Meets
2.79,3,52759,59,25,2,9,Divorced,0,PIP
2.38,4,74488,43,6,4,13,Widowed,5,Needs Improvement
4.88,1,68076,52,7,4,12,Single,7,Fully Meets
2.3,3,61221,35,17,3,13,Divorced,6,PIP
3.47,4,113498,59,7,3,11,Divorced,6,Needs Improvement
4.46,0,184719,70,10,4,16,Single,9,Fully Meets
4.06,2,97141,72,5,5,12,Married,8,Fully Meets
4.32,2,68257,32,6,5,10,Married,10,Exceeds
2.97,7,69663,47,22,3,14,Separated,3,PIP
3.46,2,64406,58,16,3,16,Separated,8,Needs Improvement
2.4,2,106144,50,13,5,14,Widowed,7,Needs Improvement
4.73,3,207412,50,4,4,9,Single,6,Fully Meets
3.64,2,138093,53,9,3,14,Widowed,7,Needs Improvement
4.6,0,49862,71,7,5,8,Single,13,Exceeds
3.18,3,90646,34,17,5,16,Divorced,6,Needs Improvement
4.37,1,170885,31,3,5,14,Married,11,Exceeds
1.27,4,56565,37,11,2,12,Separated,3,PIP
4.41,2,222645,67,7,5,14,Married,12,Exceeds
4.27,2,130510,64,2,5,15,Married,12,Exceeds
4.44,1,205178,60,1,5,8,Separated,14,Exceeds
4.62,2,151157,54,5,5,10,Single,14,Exceeds
4.55,3,151303,58,5,5,9,Married,6,Fully Meets
4.28,2,118193,62,3,5,17,Separated,14,Exceeds
4.86,1,61939,38,0,5,9,Married,13,Exceeds
2.1,3,75684,55,5,5,12,Widowed,6,Needs Improvement
4.61,1,142528,37,7,4,9,Separated,8,Fully Meets
4.41,1,76603,35,7,5,11,Single,13,Exceeds
2.04,4,103572,53,6,5,11,Separated,6,Needs Improvement
3.56,2,129974,50,3,4,8,Separated,8,Needs Improvement
1.32,2,46369,56,4,5,14,Divorced,0,PIP
2.1,6,55443,51,9,3,14,Separated,0,PIP
2.18,4,73516,55,16,3,12,Divorced,2,PIP
4.44,1,172996,38,4,4,8,Married,7,Fully Meets
1.56,2,71756,37,20,5,10,Separated,4,PIP
3.17,3,145368,36,15,4,9,Married,6,Needs Improvement
2.28,7,62403,41,17,3,9,Separated,5,PIP
4.62,2,50733,62,1,5,17,Married,14,Exceeds
3.92,4,71889,50,8,4,14,Separated,7,Needs Improvement
4.99,2,71346,60,8,4,10,Married,6,Fully Meets
4.99,1,204116,36,8,5,14,Divorced,15,Exceeds
2.15,3,58756,31,19,3,8,Single,0,PIP
4.01,1,155601,60,7,4,8,Single,8,Fully Meets
3.51,3,73398,55,3,4,8,Separated,7,Needs Improvement
3.01,5,70619,59,19,3,14,Married,5,PIP
4.91,2,80854,71,2,5,13,Married,11,Exceeds
4.06,3,96499,63,0,5,10,Separated,10,Exceeds
3.7,3,141406,33,5,4,16,Divorced,4,Needs Improvement
4.63,2,48349,48,8,5,16,Single,8,Fully Meets
2.57,5,69826,39,16,3,7,Divorced,4,PIP
3.28,2,125767,33,15,3,12,Divorced,7,Needs Improvement
3.72,3,100868,47,15,3,17,Divorced,7,Needs Improvement
2.73,5,46980,47,21,2,10,Separated,1,PIP
1.18,4,53987,45,18,4,6,Divorced,1,PIP
3.58,3,138593,39,7,4,8,Separated,5,Needs Improvement
1.49,3,67459,36,23,2,9,Separated,2,PIP
1.9,5,67857,36,8,2,14,Single,5,PIP
2.16,3,127087,43,15,4,17,Divorced,4,Needs Improvement
2.47,5,71183,52,18,2,9,Divorced,3,PIP
4.36,2,87245,72,7,5,15,Single,7,Fully Meets
2.98,3,53474,55,10,2,5,Divorced,3,PIP
1.94,4,74740,50,14,4,16,Married,4,PIP
4.07,3,191829,41,2,5,11,Married,12,Exceeds
4.08,1,65224,34,9,5,15,Married,7,Fully Meets
4.1,1,72363,53,7,5,8,Married,12,Exceeds
4.14,1,74662,48,10,5,16,Married,6,Fully Meets
2.33,4,135006,59,6,4,16,Widowed,5,Needs Improvement
4.25,2,75099,57,5,5,15,Single,11,Exceeds
3.71,3,56245,55,8,4,7,Separated,6,Needs Improvement
4.4,2,189566,55,4,5,16,Divorced,13,Exceeds
4.62,0,203086,37,6,4,16,Separated,8,Fully Meets
4.73,1,198301,37,7,5,16,Single,11,Exceeds
4.66,2,215760,58,3,5,14,Separated,13,Exceeds
4.72,2,195245,43,2,4,8,Married,10,Fully Meets
2.53,3,59745,36,4,4,16,Widowed,6,Needs Improvement
3.76,4,107188,40,14,3,17,Separated,5,Needs Improvement
4.95,1,59222,37,3,4,14,Single,9,Fully Meets
3.67,4,123742,47,3,3,16,Separated,4,Needs Improvement
2.65,6,74319,59,15,1,15,Separated,1,PIP
4.95,2,109106,34,6,5,15,Single,8,Fully Meets
2.15,4,142899,57,9,5,7,Separated,6,Needs Improvement
4.44,1,153352,43,5,5,17,Married,13,Exceeds
2.14,5,55734,52,24,5,9,Divorced,2,PIP
4.11,0,122641,59,4,4,13,Single,10,Fully Meets
4.72,0,82925,37,4,5,11,Separated,13,Exceeds
3.72,4,60950,54,10,4,8,Separated,4,Needs Improvement
1.9,3,52851,50,16,3,13,Widowed,3,PIP
4.53,3,199900,48,2,5,16,Single,12,Exceeds
4.67,1,60569,35,5,5,15,Married,13,Exceeds
4.59,1,115031,32,4,5,7,Married,13,Exceeds
1.72,5,70696,30,14,3,9,Separated,6,PIP
4.55,2,68999,56,2,5,17,Married,13,Exceeds
3.3,3,106301,48,17,5,15,Separated,6,Needs Improvement
3.13,2,69941,42,6,4,15,Divorced,4,PIP
3.19,2,71744,56,7,3,10,Widowed,7,Needs Improvement
4.75,1,145941,45,7,5,14,Single,8,Fully Meets
4.96,2,196205,48,5,5,13,Single,12,Exceeds
4.44,2,134952,31,7,5,17,Married,11,Exceeds
4.6,3,104674,46,6,5,8,Married,11,Exceeds
3.16,4,86145,58,5,5,9,Divorced,6,Needs Improvement
4.6,2,207124,68,6,5,15,Married,11,Exceeds
1.3,2,51266,53,4,4,6,Divorced,3,PIP
3.82,3,119495,36,15,5,13,Married,5,Needs Improvement
4.62,0,160855,41,8,4,13,Single,8,Fully Meets
2.44,3,66913,35,14,4,9,Married,7,Needs Improvement
4.16,0,121801,37,2,5,14,Separated,11,Exceeds
1.48,5,70111,36,25,4,11,Separated,3,PIP
2.58,3,64023,40,6,5,15,Divorced,5,PIP
3.62,2,147143,42,5,5,9,Widowed,7,Needs Improvement
4.5,2,70373,37,2,5,16,Single,11,Exceeds
4.3,1,98561,56,3,4,16,Divorced,8,Fully Meets
4.18,0,224871,48,9,5,7,Divorced,8,Fully Meets
4.6,1,81721,47,10,5,12,Single,8,Fully Meets
4.27,2,118551,36,3,5,11,Single,14,Exceeds
2.0,5,62854,46,11,2,8,Divorced,2,PIP
4.7,2,171641,64,3,5,9,Separated,11,Exceeds
1.73,2,56526,39,12,2,10,Divorced,4,PIP
4.67,3,219090,54,4,4,16,Single,9,Fully Meets
2.67,5,53446,30,14,4,9,Divorced,6,PIP
4.19,2,141412,61,8,5,12,Single,8,Fully Meets
3.38,4,71818,50,11,5,15,Divorced,7,Needs Improvement
4.98,1,196727,58,1,5,9,Married,10,Exceeds
4.41,3,192929,40,6,5,9,Married,14,Exceeds
2.33,2,57497,38,10,3,13,Separated,3,PIP
4.57,2,179241,39,8,4,12,Married,9,Fully Meets
2.42,7,66880,30,15,4,7,Separated,2,PIP
4.5,3,77865,58,2,5,8,Married,13,Exceeds
2.77,7,51847,33,22,1,6,Separated,1,PIP
4.26,2,110526,68,2,5,10,Married,10,Exceeds
4.56,2,82361,35,7,5,15,Separated,12,Exceeds
4.87,0,181868,32,5,5,11,Married,7,Fully Meets
4.0,2,218727,52,5,5,11,Married,6,Fully Meets
1.29,5,55273,32,19,2,12,Separated,2,PIP
2.28,2,65480,40,4,4,8,Separated,7,Needs Improvement
2.88,4,54189,53,11,3,14,Divorced,4,PIP
4.59,0,97970,72,8,5,10,Married,14,Exceeds
2.5,2,140825,53,7,4,9,Widowed,8,Needs Improvement
4.63,3,113995,63,1,5,13,Married,10,Exceeds
1.33,5,53652,43,23,1,11,Single,2,PIP
1.48,5,66430,59,12,4,10,Separated,4,PIP
1.16,3,70368,48,12,2,9,Married,0,PIP
4.85,2,116156,55,7,5,13,Divorced,14,Exceeds
4.55,0,71471,53,5,5,11,Single,9,Fully Meets
2.08,4,110235,38,5,3,16,Separated,5,Needs Improvement
2.23,7,60639,48,8,2,12,Divorced,1,PIP
4.25,1,114515,32,10,4,11,Married,6,Fully Meets
1.37,2,46446,53,19,3,8,Divorced,6,PIP
3.7,4,121118,58,15,4,15,Widowed,8,Needs Improvement
1.44,6,53859,43,19,4,14,Divorced,2,PIP
2.87,3,81872,53,8,4,8,Widowed,5,Needs Improvement
2.33,4,92554,33,10,3,12,Widowed,6,Needs Improvement
3.04,3,82803,39,11,4,16,Divorced,4,Needs Improvement
4.65,2,195190,45,7,4,12,Single,9,Fully Meets
3.51,3,120127,36,5,3,10,Widowed,8,Needs Improvement
3.11,3,109631,53,9,4,8,Widowed,5,Needs Improvement
1.16,2,58110,31,10,3,11,Divorced,5,PIP
4.22,0,105483,60,4,5,8,Married,12,Exceeds
2.01,3,46909,45,9,4,7,Separated,1,PIP
4.69,0,218988,40,1,5,16,Married,11,Exceeds
1.87,3,73282,37,12,4,7,Divorced,1,PIP
1.46,4,48278,49,9,2,15,Married,2,PIP
4.07,3,206570,32,6,5,17,Married,6,Fully Meets
2.38,4,74634,50,8,5,11,Divorced,8,Needs Improvement
4.33,1,131670,48,0,5,11,Single,12,Exceeds
4.71,2,50484,34,1,5,10,Single,12,Exceeds
2.65,2,107663,59,11,4,9,Widowed,6,Needs Improvement
3.19,6,53839,40,8,4,16,Divorced,1,PIP
3.17,5,47354,49,24,2,10,Divorced,0,PIP
1.6,5,53307,48,23,4,7,Single,2,PIP
3.61,3,149364,42,15,5,12,Divorced,7,Needs Improvement
2.36,4,72988,37,22,4,5,Divorced,5,PIP
4.73,1,85712,60,3,5,12,Divorced,9,Fully Meets
4.25,1,147189,31,9,5,10,Married,7,Fully Meets
4.49,1,138526,56,1,5,15,Married,14,Exceeds
4.24,2,126011,33,4,4,9,Single,8,Fully Meets
4.34,3,190046,63,6,4,13,Married,6,Fully Meets
4.09,1,121334,54,2,5,16,Single,13,Exceeds
2.52,3,63408,40,9,4,8,Separated,4,PIP
2.09,2,140610,42,16,3,10,Widowed,5,Needs Improvement
4.49,1,220370,61,3,5,11,Single,8,Fully Meets
4.08,3,208265,59,2,5,13,Married,7,Fully Meets
1.32,5,58038,57,12,5,8,Separated,1,PIP
2.51,3,138591,38,16,4,16,Single,8,Needs Improvement
2.05,3,132695,50,8,5,11,Single,5,Needs Improvement
2.84,4,126794,49,7,4,8,Widowed,7,Needs Improvement
2.81,3,84514,56,16,5,15,Widowed,7,Needs Improvement
2.25,4,74546,50,8,4,13,Separated,6,PIP
2.43,5,52405,41,14,4,8,Divorced,6,PIP
4.61,3,81585,46,9,4,11,Married,7,Fully Meets
3.49,3,136302,38,7,4,8,Widowed,8,Needs Improvement
2.89,3,48377,52,9,1,7,Separated,6,PIP
4.35,1,193319,40,6,5,16,Single,12,Exceeds
2.99,4,74430,48,19,5,11,Separated,5,PIP
